hedge,sentence
少し,10年も前の事ことなので今更ですが、[[ノート:神田教会]]にあるロマネスク様式とルネサンス様式の議論について、少し書き込みをさせて頂きました。
ちょっと,:ちょっとフランス語が話せるでしょう！
とっても,<font title=にほん>日本</font>はとっても<font title=たのしい>楽しい</font>な<font title=くに>国</font>です。
あまり,日本語はあまり分かりません日本のWIKIPEDIAに手伝いたいです。
あまり,:さて、恥ずかしながら私はまだカテゴリ関係の仕様や取り決めについて正直なところあまり詳しくありません。
若干,先日、sutou様が[[班田収授法]]に班田収授の弛緩の理由を加筆なさったのを拝見いたしましたが、誠に失礼ながら、若干の疑義を感じました。
大変,自分も浅学の身ですので、失礼な意見を書いてしまったかも知れませんが、ご寛恕頂ければ大変幸せます。
少し,まだまだ解らないことがたくさんありますが、少しずつ理解できていければと思います。
かなり,かなりベテランの方のご様子。
少し, ご案内いただいたガイドラインなどをじっくり読み返しながら、少しずつ慣れていきたいと思います。
少し,これから少しずつですが執筆していきたいと思います。
非常に,この点、私も、[[User:Calvero]]さんや[[User:Ks_aka_98]]さんのご意見と同様に、専門分野での「常識」であっても、ウィキペディアの記事とする際に、参考文献の記載は必要だと思います<small>（というのは、Nekosuki600さんはご承知の通り、「刑事法」（実体法である「刑法」、手続法である「刑事訴訟法」、その他「特別法」も含む）の分野では、判例と、それぞれの学者（学説）や実務家（検察官、弁護士、裁判官それぞれ）の間で、非常に大きな見解の相違ないし対立があるからです。
とても,このため、「誰がどこで述べたことか」ということ（つまり出典）を明示することが、とても重要であると考えられます。
とても,そうすると、日本語版ウィキペディアの記事の質の向上にとても貢献できると思います。
非常に,しかし、Nekosuki600さんにお知らせしたとおり、日本語版ウィキペディアでは、記事編集の根幹に関わる規約の整備等が、英語版に比べて非常に遅れています。
とても,とても感謝をしております。
とても,まだ中学生であるにもかかわらず、きちんと挨拶を返していらっしゃるので、とても礼儀正しくて感心しました。
相当,[[User:Suisui]]さんは、大人ですが、何人ものユーザーが、相当に長い間、辛抱強く、[[Wikipedia:コメント依頼/Suisui20070111]]で回答をお待ちしている方です。
とても,とても役に立ちました。
とても,[{{fullurl: 利用者‐会話:タカカ上等兵|oldid=6840144}} 2006年7月26日のSuisuiさんのウェルカムメッセージ]が、どこでどのような役に立ったのか、とても不思議に思いました。
十分,プロバイダに通報するとしても、１週間という短い期間でなされた行為について何らかの対処を求めるというのはあまりに不十分であるし、プロバイダから「長期に渡って継続している証拠を提出してください」と言われるのは当然で、言われれば現時点の基準ではそれまでです。
あまり,プロバイダに通報するとしても、１週間という短い期間でなされた行為について何らかの対処を求めるというのはあまりに不十分であるし、プロバイダから「長期に渡って継続している証拠を提出してください」と言われるのは当然で、言われれば現時点の基準ではそれまでです。
非常に,広域ブロックの巻き添えをくって自宅からの@niftyの接続がブロックされてしまっており非常に迷惑しています。
ずいぶん,:ずいぶんと的外れのレスのように思えますが？
非常に,加えて自分は先月末にウィキペディアに来たばかりで、よく勝手のわからないうちにブロックを受けてしまい、最初は非常に当惑しました。
非常に,私も@niftyの当該IPへの広域ブロックが原因で、今月上旬より自宅からの投稿ができず非常に困惑しているものです。
少し,（インデント戻し）口論に首を突っ込むつもりはありませんが、あまりにもひどいので少しだけコメント。
あまり,（インデント戻し）口論に首を突っ込むつもりはありませんが、あまりにもひどいので少しだけコメント。
あまり,::ウィキペディアに精通されているKazutokoさんにとっては、私（私たち）の発言や記載の仕方が「あまりにもひどい」「礼儀を全くわきまえない」と映ったかもしれませんね。
