hedge,sentence,gemini_label,softness_harshness,formality,degree,softens_harshness
very,"* ClueBot NG makes very few mistakes, but it does happen.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," Wikipedia has a very strict policy concerning [[Wikipedia:Biographies of living persons|how we write about living people]], so please help us keep such articles accurate and clear.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
very,It's very important that contributors understand and follow these practices.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
a little,"* It's normal to feel a little overwhelmed, but don't worry if you don't understand everything at first—it's fine to edit using common sense.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 5}",8.0,4.0,5.0,8.0
really," And because LLMs are apt to make significant errors that sound plausible, you really want to steer clear of using them.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 3, ""degree"": 4}",4.0,3.0,4.0,4.0
very, Wikipedia takes copyright violations very seriously and persistent violators '''will be [[Wikipedia:Blocking policy|blocked from editing]]'''.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,&#32;Your recent contributions may have already been undone for this very reason.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 7, ""degree"": 0}",5.0,7.0,0.0,5.0
very,"(Boeing747Pilot)"" with your signature, as it is very annoying.","{""is_modifier"": true, ""softens_harshness"": 2, ""formality"": 5, ""degree"": 5}",2.0,5.0,5.0,2.0
very,::::This is still very distracting.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,:Thank you very much!,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
rather, The note they left on my talk page was “Accepting your own AFC submission is rather gauche.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 8, ""degree"": 4}",7.0,8.0,4.0,7.0
a bit," I didn’t see any issues that would warrant such quick draftification, so I was a bit confused by this action.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 5}",8.0,4.0,5.0,8.0
really," Although waiting in line at Articles for Creation can be frustrating, it can also be really helpful to get feedback on your drafts.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
very," If you notice exceptional contributions in project areas by any editor, feel free to show them some appreciation by awarding them their very own ✨barnstar✨.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 0}",6.0,4.0,0.0,6.0
quite," I am not quite sure how to proceed, any help would be appreciated, thank you in advance!","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 5}",8.0,6.0,5.0,8.0
very," I noticed that you made a comment  that didn't seem very [[Wikipedia:Civility|civil]], so it may have been removed.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 4}",8.0,6.0,4.0,8.0
reasonably,"  In keeping with Wikipedia's [[Wikipedia:Neutral point of view|neutral point of view]] policy, edits where there is a conflict of interest, or where such a conflict might reasonably be inferred from the tone of the edit and the proximity of the editor to the subject, are strongly discouraged.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 8, ""degree"": 4}",7.0,8.0,4.0,7.0
extremely,""" I created a talk page to discuss this, but the lack of engagement and disagreement from others was extremely frustrating.","{""is_modifier"": true, ""softens_harshness"": 2, ""formality"": 5, ""degree"": 5}",2.0,5.0,5.0,2.0
a little,":{{Non-administrator comment}} Hi {{ping|Ryke001}}, I came across your appeal and wanted to see if I could help bolster your case a little whilst you're waiting for a decision.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 4}",7.0,4.0,4.0,7.0
quite," You usually need to explain the exact steps that you'll take in future, but the AI can never quite get that part so they just get rejected.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 4}",7.0,5.0,4.0,7.0
really,":So, imagine that you've spent absolutely ages on an edit that you're really proud of.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
really,":::The ""clue"" was the [[Wikipedia:BOLD, revert, discuss cycle]] page, which is really helpful for this sort of thing.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
very," You moved them from DOB to DOD, knowing very well that this was neither the closure decision at RM nor (as you have just admitted) standard disambiguation.","{""is_modifier"": true, ""softens_harshness"": 2, ""formality"": 5, ""degree"": 4}",2.0,5.0,4.0,2.0
really, So I'm really not sure why you made the decision to move them.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 4}",4.0,4.0,4.0,4.0
a bit, It seems a bit weird.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 3, ""degree"": 5}",8.0,3.0,5.0,8.0
very,::::You are wrong that I knew {{tq|very well that this was [not] standard disambiguation}}.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
really," In those circumstances, you really had no good reason to move them again unless you had failed to read both the RM debate and the page history.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 4, ""degree"": 2}",3.0,4.0,2.0,3.0
very, There is a very large backlog at RM and I'm trying to handle it.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
slightly,"* '''[[Wikipedia:Requests for adminship/2024 review/Phase I#Proposal 12c: Lower the high end of the bureaucrats' discretionary zone from 75% to 70%|Proposals 12c]]''', '''[[Wikipedia:Requests for adminship/2024 review/Phase I#Proposal 21: Reduce threshold of consensus at RfA|21]]''', and '''[[Wikipedia:Requests for adminship/2024 review/Phase I#Proposal 21b: Slightly reduce threshold of consensus at RfA|21b]]''', initiated by {{noping|City of Silver}}, {{u|Ritchie333}}, and {{u|HouseBlaster}}, respectively, provide for reducing the discretionary zone, which currently extends from 65% to 75%.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
a little," It's only there because I started it before I was autoconfirmed, and I believe once I have cleaned up a little bit I the article can be moved to the main space and out of the draft section.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 5}",7.0,4.0,5.0,7.0
very,:what I did was totally wrong and my article seem to be very promotional but I promise that it wasn't the case.,"{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
very," I'm very new here and saw that no one made article yet so I tried making one, and all the info I put in was easily found in their website.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
very, I was just very excited to make my first article in Wiki.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," I'm very new on Wikipedia and I've learned my mistake, kindly help to unblock me and I've learned how to make an article in Wikipedia|decline=Superseded by the below request.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 4}",7.0,5.0,4.0,7.0
